CustomerID,Age,Location,Segment,NPS,ChurnLabel,TotalPurchaseFrequency,TotalPurchaseValue,ProductList,Plan,numEmails,numCalls,numChats,AVGLatePayment,NumPaymentMethods,PageViews,TimeSpent(minutes),ActionCount,unique_pages,Logins,Rating,AVGOpenDays,AVGClickDays,customer_segment,Start_Date_year,Start_Date_month,Start_Date_day,End_Date_year,End_Date_month,End_Date_day,FirstInteractionDate_year,FirstInteractionDate_month,FirstInteractionDate_day,LastInteractionDate_year,LastInteractionDate_month,LastInteractionDate_day,churndate_year,churndate_month,churndate_day,most_recent_action_date_only_year,most_recent_action_date_only_month,most_recent_action_date_only_day,Gender_Female,Gender_Male,TotalInteractionType_Call,TotalInteractionType_Call|Chat,TotalInteractionType_Call|Chat|Email,TotalInteractionType_Call|Email,TotalInteractionType_Chat,TotalInteractionType_Chat|Email,TotalInteractionType_Email,Frequency_Daily,Frequency_Monthly,Frequency_Weekly
1001,31,3155.595,1.0,3,1,38,3994.72,3994.72,6.0,1,1,2,13.333333333333334,3,49,15,24,13,19,1,818.0,319.0,3.0,2020,6,8,2022,10,27,2019,9,26,2021,7,25,2020,1,27,2022,11,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1002,66,1477.0775,2.0,6,0,4,2844.3500000000004,2844.3500000000004,12.0,10,5,4,3.3333333333333335,3,100,9,24,13,9,2,110.0,88.0,3.0,2021,7,21,2022,5,7,2019,1,12,2022,12,13,2019,1,6,2022,12,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1003,36,1866.52,1.0,3,0,14,1866.52,1866.52,5.0,1,1,1,2.6666666666666665,3,1,97,12,7,19,4,333.0,117.0,0.0,2019,10,5,2020,8,19,2019,10,9,2022,1,4,2019,4,30,2022,11,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1004,62,2473.6,2.0,1,1,28,1378.64,1378.64,15.0,18,17,24,26.333333333333332,3,25,31,47,14,4,1,159.0,423.0,3.0,2020,1,14,2022,3,27,2019,1,3,2022,11,10,2020,3,3,2022,12,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1005,68,3795.5237500000003,2.0,3,0,39,2425.0499999999997,2425.0499999999997,0.0,5,4,1,0.6666666666666666,3,77,51,30,12,12,3,193.0,96.0,2.0,2021,4,8,2022,11,9,2019,4,10,2022,12,19,2019,4,5,2022,12,30,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1006,65,1303.16,0.0,2,1,10,1303.16,1303.16,13.0,16,23,15,24.333333333333332,3,40,17,45,13,23,2,61.0,9.0,3.0,2022,2,13,2022,5,30,2019,1,9,2022,12,26,2020,3,25,2022,12,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1007,52,4172.316666666667,1.0,1,1,32,5860.079999999999,5860.079999999999,11.0,26,12,19,16.666666666666668,3,23,25,40,14,15,5,766.0,284.0,1.0,2021,1,10,2022,3,21,2019,2,14,2022,12,27,2020,11,25,2022,12,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1008,48,4052.47,1.0,1,1,63,4052.47,4052.47,14.0,6,14,4,30.333333333333332,3,35,33,6,6,6,2,729.0,209.0,2.0,2021,3,20,2021,11,12,2019,2,24,2022,10,24,2020,12,13,2022,10,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1009,66,6054.65,2.0,6,0,41,6054.65,6054.65,9.0,3,6,5,4.0,3,75,8,42,13,26,1,24.0,1.0,2.0,2020,4,29,2021,10,5,2019,1,24,2022,7,14,2022,1,1,2022,11,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1010,67,2109.4100000000003,1.0,5,0,15,2024.55,2024.55,10.0,0,0,1,2.0,3,65,47,36,13,22,1,22.0,96.0,0.0,2019,9,15,2022,10,9,2019,11,8,2019,11,8,2021,12,27,2022,12,27,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1011,18,3428.7875000000004,2.0,0,1,22,2516.3199999999997,2516.3199999999997,6.0,8,12,12,21.666666666666668,3,50,33,8,5,4,4,110.0,742.0,3.0,2021,1,27,2022,6,9,2019,1,2,2022,11,7,2021,8,12,2022,11,23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1012,60,1698.06,2.0,0,1,2,1698.06,1698.06,15.0,6,5,7,3.3333333333333335,3,94,3,38,14,15,4,302.0,336.0,0.0,2020,7,29,2020,12,19,2019,6,2,2022,10,24,2021,6,30,2022,12,28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1013,54,2393.79,2.0,2,1,25,2393.79,2393.79,4.0,20,24,11,24.0,3,67,7,11,8,16,3,374.0,80.0,2.0,2019,12,17,2021,8,30,2019,1,26,2022,12,2,2019,2,24,2022,12,19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1014,45,1866.8900000000003,2.0,8,0,13,1866.8900000000003,1866.8900000000003,17.0,7,4,7,3.0,3,85,29,22,11,9,3,164.0,638.0,3.0,2020,11,28,2022,2,16,2019,1,25,2022,10,1,2021,4,17,2022,11,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
